Institute of Technology,Nirma University of Science and Technology,46,Ahmedabad,Gujarat,Melida,(855) 716-5231,1,6,Callington Road  Bristol  City of Bristol BS4 5DP  INDIA,-83.42053,-171.6237,ac.mattis@Mauris.org,,Melida,1935
Indian Institute of Information Technology,Indian Institute of Information Technology Allahabad,15,Allahabad,UP,Normand,(811) 464-1423,1,20,Maidstone  Maidstone  Kent ME14 9LL  INDIA,8.34391,-43.75601,luctus.sit.amet@euodio.co.uk,,Normand,1997
Motilal Nehru National Institute of Technology,Motilal Nehru National Institute of Technology  Allahabad,33,Allahabad,UP,Jaime,(844) 013-4482,1,20,Foster Place Lane  Holmfirth  West Yorkshire HD9 7TN  INDIA,-32.63923,141.01916,auctor@tellusimperdiet.org,,Jaime,1936
Jorhat Engineering College,Dibrugarh University,10,Assam,Assam,Tamra,(844) 133-1776,2,2,1 McLaren Brae  Buckie  Moray AB56 1TS  INDIA,59.94259,73.4678,Phasellus.at@aliquet.edu,,Tamra,1997
M S Ramaiah Institute of Technology,Autonomous,3,Bangalore,Karnataka,Gilberte,(822) 421-1190,3,11,24 Liscard Village  Wallasey  Merseyside CH45 4JP  INDIA,-52.52436,23.51534,massa.Quisque@gravidamauris.com,,Gilberte,1978
B M S College of Engineering,Visvesvaraya Technological University,65,Bangalore,Karnataka,Delinda,(899) 019-9244,3,11,33 Oxford Street  Preston  Lancashire PR1 3QW  INDIA,15.82147,16.76453,lobortis@litoratorquent.com,,Delinda,2010
Bangalore Institute of Technology,Visvesvaraya Technological University,65,Bangalore,Karnataka,Melva,(855) 583-9589,3,11,38 Ladysmith Road  Enfield  Greater London EN1 3AA  INDIA,-6.39251,-2.13039,lorem.eget@vitae.ca,,Melva,1998
P.E.S. Institute of Technology,Visvesvaraya Technological University,65,Bangalore,Karnataka,Mariette,(811) 176-7955,3,11,22 Bierton Road  Birmingham  West Midlands B25 8PY  INDIA,32.18051,117.46383,Fusce.feugiat.Lorem@sociisnatoque.org,,Mariette,1987
R.V. College of Engineering,Visvesvaraya Technological University,65,Bangalore,Karnataka,Salome,(899) 587-8366,3,11,44 Fairfolds  Watford  Hertfordshire WD25 9UW  INDIA,-49.59515,-87.90532,lectus.pede.et@ornareFusce.net,,Salome,1935
Sir M. Visvesvaraya Institute of Technology,Visvesvaraya Technological University,65,Bangalore,Karnataka,Shantelle,(899) 685-2752,3,11,5 Gleneagles Drive  Holmes Chapel  Crewe  Cheshire East CW4 7JA  INDIA,-4.80135,171.67459,venenatis.lacus.Etiam@CuraeDonec.com,,Shantelle,1956
Sagar Institute of Science and Technology,Sagar Institute of Science and Technology,51,Bhopal,Madhya Pradesh,Lawanna,(855) 056-5289,4,13,East Lane  Abbots Langley  Hertfordshire WD5 0NY  INDIA,-13.78432,-130.983,In.scelerisque@elementum.net,,Lawanna,1997
Indian Institute of Technology  Bhubaneswar,Indian Institute of Technology Bhubaneswar,17,Bhubaneswar,Orissa,Edna,(855) 397-8226,5,15,16 Lodge Road  Holton  Halesworth  Suffolk IP19 8RZ  INDIA,-40.34475,-7.82552,erat.volutpat@a.net,,Edna,1956
University Institute of Engineering and Technology  Panjab University,Panjab University,48,Chandigarh,Chandigarh,Joannie,(833) 568-4334,6,4,Unnamed Road  Rayne  Braintree  Essex CM77 6DL  INDIA,-84.65385,105.91868,Sed@commodo.net,,Joannie,1852
P.E.C. University of Technology,PEC University of Technology,49,Chandigarh,Chandigarh,Teresa,(822) 742-1833,6,4,69 Este Road  Birmingham  West Midlands B26 2ES  INDIA,81.53537,-171.22019,lorem.semper.auctor@netuset.ca,,Teresa,1936
Rajalakshmi Engineering College,Anna University,1,Chennai,Tamil Nadu,Annette,899) 374-7918,7,18,33 Henley Gardens  Consett  County Durham DH8 7JP  INDIA,-50.82585,42.86761,magna.a@sapienimperdietornare.co.uk,,Annette,1998
Indian Institute of Technology  Madras,Indian Institute of Technology Madras,23,Chennai,Tamil Nadu,Lakendra,(833) 600-4805,7,18,433 Fulham Road  Chelsea  London SW10 9TX  INDIA,75.97016,144.16915,elementum.sem.vitae@Donecegestas.com,,Lakendra,1936
SRM University,SRM University,54,Chennai,Tamil Nadu,Belkis,(899) 378-2975,7,18,7 Wake Green Road  Birmingham  West Midlands B13 9HD  INDIA,-41.77191,155.14092,nunc.ac.mattis@euturpisNulla.ca,,Belkis,1978
P.S.G. College of Technology,Anna University,1,Coimbatore,Tamil Nadu,Nikki,(899) 497-6403,8,18,11 Puddledock  London EC4V 3PD  INDIA,-60.03832,-124.22752,est.Mauris@risusa.com,,Nikki,1989
DIT University,DIT University,11,Dehradun,Uttarakhand,Lawanna,(811) 535-6631,9,21,38 Saint Aidan's Road  South Shields  Tyne and Wear NE33 2HD  INDIA,-58.98236,60.43287,ipsum@Donec.com,,Lawanna,1987
